participant,UUID,date,condition,direction test,start landmark,facing landmark,target landmark,bearing,actual direction,abs error,same or different route,error in pointing task
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Golledge Hall,Snow Church,Harris Hall,163,176.2022806,13.20228061,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Golledge Hall,Snow Church,Sauer Center,-75,-76.21088344,1.210883445,same,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Golledge Hall,Snow Church,Tobler Museum,-135,-147.0284471,12.02844706,same,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Golledge Hall,Snow Church,Lynch Station,151,-173.9683139,35.03168609,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Golledge Hall,Snow Church,Batty House,143,173.5694617,30.56946175,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Snow Church,Sauer Center,Lynch Station,-108,-79.44851915,28.55148085,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Snow Church,Sauer Center,Tobler Museum,-56,-63.69277617,7.692776166,same,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Snow Church,Sauer Center,Golledge Hall,-127,-125.8431145,1.15688545,same,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Snow Church,Sauer Center,Harris Hall,-91,-88.09346154,2.906538455,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Snow Church,Sauer Center,Sauer Center,0,-0.279262352,0.279262352,same,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Snow Church,Sauer Center,Batty House,-112,-90.64700942,21.35299058,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Snow Church,Sauer Center,Harvey House,-140,-119.6929579,20.30704214,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Sauer Center,Tobler Museum,Harvey House,-41,-23.09134403,17.90865597,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Sauer Center,Tobler Museum,Batty House,-14,6.744508622,20.74450862,different,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Sauer Center,Tobler Museum,Golledge Hall,-51,-51.85616181,0.856161813,same,FALSE
Rep BACD_5,f9aceddb-b30c-41ed-b3ba-1d17508f4c60,2020-10-09 23:09:01 UTC,Rep BACD,0,Sauer Center,Tobler Museum,Harris Hall,-18,4.240040564,22.24004056,different,FALSE
