Start_date,End_date,Progress,Duration_seconds,Finished,Recorded_date,Institution,PIN_TU_Only,gender,Age,Hispanic,Racial_Category,Racial_Category_Text,Education_Level,Education_Level_Text,Handedness,First_Language,Age_started_speaking_English,Participant_UUID_Qualtrics,Participant_UUID_Qualtrics_Truncated
9/16/2020 7:07,9/16/2020 7:09,100,161,TRUE,9/16/2020 7:09,UF,,Female,18,Hispanic/Latino,White,,High School,,Left,spanish,3,ae8441a4-e82c-49c3-9140-685b1818a758,ae8441a4-e82
6/3/2020 12:58,6/3/2020 13:01,100,183,TRUE,6/3/2020 13:01,Temple,2,Female,28,Not Hispanic/Latino,Black/African American,,Other:,Associate's,Right,English,,af7ded8f-330c-43b0-9362-1092b04f5924,af7ded8f-330
10/8/2020 10:50,10/8/2020 10:52,100,145,TRUE,10/8/2020 10:52,UF,,Female,18,Not Hispanic/Latino,White,,High School,,Right,english,,afaa7e32-6813-42ff-8bd4-68d17075530f,afaa7e32-681
12/3/2020 8:08,12/3/2020 8:10,100,113,TRUE,12/3/2020 8:10,UF,,Female,19,Not Hispanic/Latino,Black/African American,,High School,,Right,English,,b16cbe15-9952-4706-8e1a-cb16fb90ec92,b16cbe15-995
7/23/2020 7:59,7/23/2020 8:04,100,291,TRUE,7/23/2020 8:04,UF,,Female,20,Not Hispanic/Latino,Black/African American,,High School,,Right,English,,b243b2d5-7a68-489c-a10c-5b3fc2c7865d ,b243b2d5-7a6
10/7/2020 11:58,10/7/2020 12:17,100,1109,TRUE,10/7/2020 12:17,UF,,Female,19,Hispanic/Latino,White,,High School,,Right,English,,b8c531a6-b592-4277-87b2-860f81ccc86c,b8c531a6-b59
11/24/2020 9:02,11/24/2020 9:06,100,206,TRUE,11/24/2020 9:06,Temple,135,Female,22,Not Hispanic/Latino,Asian,,High School,,Right,English,,b9bfd63d-9c7d-4ccd-93a8-bbb1afa8a541,b9bfd63d-9c7
9/30/2020 13:03,9/30/2020 13:07,100,202,TRUE,9/30/2020 13:07,Temple,60,Male,20,Not Hispanic/Latino,White,,High School,,Right,English,,bbedc7c2-3caa-428e-b7ef-fa56023fba70 ,bbedc7c2-3ca
10/15/2020 10:09,10/15/2020 10:11,100,118,TRUE,10/15/2020 10:11,Temple,0,Male,19,Not Hispanic/Latino,White,,High School,,Right,English,,c18592c2-5919-4c9a-87b6-a0ece6838db5,c18592c2-591
10/29/2020 10:04,10/29/2020 10:07,100,186,TRUE,10/29/2020 10:07,UF,,Female,19,Not Hispanic/Latino,White,,High School,,Right,English,,c1ec3fe4-63ce-4954-8bdc-dc5e1d9ad226,c1ec3fe4-63c
10/14/2020 8:04,10/14/2020 8:10,100,328,TRUE,10/14/2020 8:10,Temple,86,Female,18,Hispanic/Latino,White,,High School,,Right,English,,c31e2c8f-c2a0-4c97-9b60-34c3dc50a005,c31e2c8f-c2a
