"participant","Participant UUID","Pilot subject?","elected to share data?","age","sex","date","MRT SDT-style","PSAS average","PVAS average","SBSOD average","gender","ethnic category","racial category","education","handedness","first language"
"0122","e3f74869-23ce-4d7a-83c3-7054eef1f32d","no","true","","","2020-11-03 15:16:23 UTC","14","","","4.733333333333333","","","","","",""
"0123","ebe52bec-935f-4ebf-ab1e-743e1c1814fe","no","true","","","2020-11-05 15:13:15 UTC","34","","","4.866666666666666","","","","","",""
"0124","5b4aadd5-412e-4b51-bd0b-7128dd0e5ec5","no","true","","","2020-11-05 18:27:44 UTC","52","","","5.266666666666667","","","","","",""
"0125","10b4bfcb-cef9-428c-931a-fe277682d93f","no","true","","","2020-11-05 21:01:29 UTC","12","","","3.6666666666666665","","","","","",""
"0126","1239fd57-e248-4ee2-9ecb-1b60c88a6f57","no","true","","","2020-11-06 15:05:52 UTC","52","","","3.4","","","","","",""
"0127","265bac2e-533a-4476-ba3d-168dc5bac0d1","no","true","","","2020-11-06 21:08:16 UTC","-8","","","5.933333333333334","","","","","",""
"0128","edf159e2-07d8-43a4-857b-e869bc174485","no","true","","","2020-11-09 15:10:51 UTC","0","","","3.3333333333333335","","","","","",""
"0129","46fb51be-0d6d-4fc0-8e61-5adff691f9be","no","true","","","2020-11-09 17:01:10 UTC","54","","","6.133333333333334","","","","","",""
"0130","05e1702e-4712-4c0a-a07c-fcd938791f95","no","true","","","2020-11-11 16:04:58 UTC","40","","","4.4","","","","","",""
"0131","8e5dda57-8ac0-4073-9494-5c8f786268b7","no","true","","","2020-11-12 15:07:22 UTC","20","","","3.2666666666666666","","","","","",""
"0132","dadb77ed-00b8-4632-af0f-f569dafb5a5a","no","true","","","2020-11-16 15:06:31 UTC","40","","","3.533333333333333","","","","","",""
"0133","91c0a1ef-0d38-41f4-b2d6-aa9569c6202e","no","true","","","2020-11-18 22:09:44 UTC","36","","","5.6","","","","","",""
"0134","e1a48277-e211-481a-81ae-95d581ec3851","no","true","","","2020-11-19 15:08:23 UTC","44","","","5.133333333333334","","","","","",""
"0135","4ee477f8-ff25-4bdb-9959-d9571cadb6c7","no","true","","","2020-11-20 15:07:33 UTC","66","","","3.7333333333333334","","","","","",""
"0136","b2d1edc9-6b16-4ce8-94ff-ddc2ec8c1cc1","no","true","","","2020-11-20 21:20:45 UTC","44","","","6.8","","","","","",""
"0137","37b14be4-978e-48e6-89b3-450b1a947752","no","true","","","2020-11-24 15:11:05 UTC","28","","","5.133333333333334","","","","","",""
"0138","7e603d9d-d65b-4dab-972c-f194b3ba3033","no","true","","","2020-11-24 15:33:39 UTC","32","","","5.2","","","","","",""
"0139","b9bfd63d-9c7d-4ccd-93a8-bbb1afa8a541","no","true","","","2020-11-24 16:06:52 UTC","-20","","","4.8","","","","","",""
"0140","73cc3358-285f-4f2e-90c0-2fca4281b9f6","no","false","","","2020-11-24 16:42:14 UTC","2","","","3.4","","","","","",""
"0141","7c15814f-d9ba-4e6f-84ed-5e625443416a","no","true","","","2020-12-02 15:03:54 UTC","34","","","4.8","","","","","",""
"0142","53473141-5199-42a0-a807-52dca98ceb25","no","true","","","2020-12-02 19:10:18 UTC","58","","","5.6","","","","","",""
"0143","b16cbe15-9952-4706-8e1a-cb16fb90ec92","no","true","","","2020-12-03 15:11:54 UTC","18","","","3.2","","","","","",""
"0144","d9c6574f-496e-495d-a6ea-3f33058c15cb","no","true","","","2020-12-04 20:44:35 UTC","28","","","3.533333333333333","","","","","",""
"0145","ad14918e-4cfe-460b-b8cf-55d39b30a6cb","no","true","","","2020-12-09 15:15:10 UTC","8","","","3.533333333333333","","","","","",""
"0146","fd030fc8-794d-48cb-9a90-9a051160ae5d","no","true","","","2020-12-10 18:11:03 UTC","8","","","4.2","","","","","",""
