"participant","date","model number","building","x","y","error"
"0035","2020-09-17 16:03:54 UTC","0","Lynch Station","39","262","140.61649974309557"
"0035","2020-09-17 16:03:54 UTC","0","Batty House","10","237","38.91015291668744"
"0035","2020-09-17 16:03:54 UTC","0","Harvey House","372","387","125.25174649480941"
"0035","2020-09-17 16:03:54 UTC","0","Harris Hall","194","439","214.03270778084362"
"0036","2020-09-17 18:07:25 UTC","0","Lynch Station","29","278","154.93547043850222"
"0036","2020-09-17 18:07:25 UTC","0","Batty House","118","459","207.9663434308542"
"0036","2020-09-17 18:07:25 UTC","0","Tobler Museum","269","76","228.67444107289296"
"0036","2020-09-17 18:07:25 UTC","0","Snow Church","554","233","164.40194646049662"
"0036","2020-09-17 18:07:25 UTC","0","Golledge Hall","408","396","188.04520733057782"
"0036","2020-09-17 18:07:25 UTC","0","Sauer Center","478","113","182.40888136272312"
"0036","2020-09-17 18:07:25 UTC","0","Harvey House","43","78","478.17360864020924"
"0036","2020-09-17 18:07:25 UTC","0","Harris Hall","298","265","91.706052144883"
"0037","2020-09-18 13:25:53 UTC","0","Tobler Museum","495","71","51.03920062069938"
"0037","2020-09-18 13:25:53 UTC","0","Batty House","43","491","219.58369702689677"
"0037","2020-09-18 13:25:53 UTC","0","Lynch Station","9","335","211.0213259365034"
"0037","2020-09-18 13:25:53 UTC","0","Harris Hall","111","136","137.53544997563355"
"0037","2020-09-18 13:25:53 UTC","0","Harvey House","306","34","451.159616987159"
"0037","2020-09-18 13:25:53 UTC","0","Golledge Hall","308","258","258.11818998280614"
"0037","2020-09-18 13:25:53 UTC","0","Snow Church","491","463","342.32878932394806"
"0037","2020-09-18 13:25:53 UTC","0","Sauer Center","639","255","250.39169315294788"
"0038","2020-09-18 15:21:06 UTC","0","Batty House","4","268","23.345235059857504"
"0038","2020-09-18 15:21:06 UTC","0","Lynch Station","0","137","17.69180601295413"
"0038","2020-09-18 15:21:06 UTC","0","Harvey House","732","249","497.533918441748"
"0038","2020-09-18 15:21:06 UTC","0","Harris Hall","271","148","96.02083107326243"
"0038","2020-09-18 15:21:06 UTC","0","Snow Church","544","331","213.21350801485352"
"0038","2020-09-18 15:21:06 UTC","0","Tobler Museum","487","153","31.575306807693888"
"0038","2020-09-18 15:21:06 UTC","0","Golledge Hall","354","367","223.32935319836486"
"0038","2020-09-18 15:21:06 UTC","0","Sauer Center","182","298","531.1289862170959"
"0039","2020-09-18 16:19:07 UTC","0","Lynch Station","","",""
"0039","2020-09-18 16:19:07 UTC","0","Batty House","","",""
"0039","2020-09-18 16:19:07 UTC","0","Tobler Museum","","",""
"0039","2020-09-18 16:19:07 UTC","0","Sauer Center","","",""
"0039","2020-09-18 16:19:07 UTC","0","Snow Church","","",""
"0039","2020-09-18 16:19:07 UTC","0","Golledge Hall","","",""
"0039","2020-09-18 16:19:07 UTC","0","Harvey House","","",""
"0039","2020-09-18 16:19:07 UTC","0","Harris Hall","","",""
"0040","2020-09-18 18:07:14 UTC","0","Batty House","14","67","205.41178155110774"
"0040","2020-09-18 18:07:14 UTC","0","Lynch Station","189","15","207.87015177749788"
"0040","2020-09-18 18:07:14 UTC","0","Harris Hall","256","256","50.80354318352215"
"0040","2020-09-18 18:07:14 UTC","0","Harvey House","6","327","328.4935311387425"
"0040","2020-09-18 18:07:14 UTC","0","Snow Church","717","457","252.00198411917316"
"0040","2020-09-18 18:07:14 UTC","0","Sauer Center","633","192","187.17104476921637"
"0040","2020-09-18 18:07:14 UTC","0","Golledge Hall","419","488","244.60989350392188"
"0040","2020-09-18 18:07:14 UTC","0","Tobler Museum","419","341","231.16444363266598"
"0042","2020-09-24 15:12:53 UTC","0","Golledge Hall","308","443","297.7247050548543"
"0042","2020-09-24 15:12:53 UTC","0","Sauer Center","359","59","271.42586464815764"
"0042","2020-09-24 15:12:53 UTC","0","Snow Church","653","170","72.069410986909"
"0042","2020-09-24 15:12:53 UTC","0","Tobler Museum","105","95","388.9382984484814"
"0042","2020-09-24 15:12:53 UTC","0","Batty House","52","490","219.4288039433292"
"0042","2020-09-24 15:12:53 UTC","0","Lynch Station","32","275","152.31874474272692"
"0042","2020-09-24 15:12:53 UTC","0","Harris Hall","540","397","367.24106524189256"
"0042","2020-09-24 15:12:53 UTC","0","Harvey House","703","404","416.9436412754127"
"0043","2020-09-24 16:15:16 UTC","0","Golledge Hall","620","17","279.66408421533146"
"0043","2020-09-24 16:15:16 UTC","0","Tobler Museum","650","465","377.22407134221964"
"0043","2020-09-24 16:15:16 UTC","0","Snow Church","399","280","325.75143898377485"
"0043","2020-09-24 16:15:16 UTC","0","Sauer Center","41","27","584.4142366506826"
"0043","2020-09-24 16:15:16 UTC","0","Harris Hall","354","29","241.1016383187804"
"0043","2020-09-24 16:15:16 UTC","0","Batty House","103","394","143.7358688706476"
"0043","2020-09-24 16:15:16 UTC","0","Lynch Station","106","201","121.51131634543344"
"0043","2020-09-24 16:15:16 UTC","0","Harvey House","28","446","268.8438208328397"
"0044","2020-09-24 16:22:25 UTC","0","Tobler Museum","267","494","435.27003113010204"
"0044","2020-09-24 16:22:25 UTC","0","Sauer Center","53","418","705.5161231325617"
"0044","2020-09-24 16:22:25 UTC","0","Snow Church","59","260","659.2981116308464"
"0044","2020-09-24 16:22:25 UTC","0","Golledge Hall","240","251","326.4597984438513"
"0044","2020-09-24 16:22:25 UTC","0","Harvey House","581","21","545.5868400172424"
"0044","2020-09-24 16:22:25 UTC","0","Harris Hall","443","211","228.49288829195538"
"0044","2020-09-24 16:22:25 UTC","0","Lynch Station","638","325","657.4777562777314"
"0044","2020-09-24 16:22:25 UTC","0","Batty House","620","493","632.8427924848319"
"0046","2020-09-24 19:11:47 UTC","0","Harvey House","13","251","365.6733515037704"
"0046","2020-09-24 19:11:47 UTC","0","Sauer Center","592","161","159.45218719101973"
"0046","2020-09-24 19:11:47 UTC","0","Tobler Museum","317","464","384.6296920415791"
"0046","2020-09-24 19:11:47 UTC","0","Lynch Station","216","322","284.2885857715712"
"0046","2020-09-24 19:11:47 UTC","0","Golledge Hall","556","397","106.30145812734649"
"0046","2020-09-24 19:11:47 UTC","0","Snow Church","307","62","433.27820162108316"
"0046","2020-09-24 19:11:47 UTC","0","Harris Hall","707","39","526.3392442142235"
"0046","2020-09-24 19:11:47 UTC","0","Batty House","373","255","346.41737831696605"
"0047","2020-09-25 14:07:10 UTC","0","Batty House","44","428","156.92354826475216"
"0047","2020-09-25 14:07:10 UTC","0","Lynch Station","3","223","99.40824915468535"
"0047","2020-09-25 14:07:10 UTC","0","Harris Hall","146","100","143.65583872575453"
"0047","2020-09-25 14:07:10 UTC","0","Golledge Hall","320","68","330.55256768024054"
"0047","2020-09-25 14:07:10 UTC","0","Snow Church","503","140","222.69710370815332"
"0047","2020-09-25 14:07:10 UTC","0","Sauer Center","591","214","211.74749113035554"
"0047","2020-09-25 14:07:10 UTC","0","Harvey House","397","245","261.16852796613915"
