participant,date,condition,model number,building,x,y,error
Rev_8,2020-09-22 05:20:15 UTC,,0,Lynch Station,240,15,252.7152548
Rev_8,2020-09-22 05:20:15 UTC,,0,Harvey House,53,474,241.2509067
Rev_8,2020-09-22 05:20:15 UTC,,0,Snow Church,294,273,427.4435635
Rev_8,2020-09-22 05:20:15 UTC,,0,Sauer Center,657,439,435.1781245
Rev_8,2020-09-22 05:20:15 UTC,,0,Tobler Museum,401,448,338.7329331
Rev_8,2020-09-22 05:20:15 UTC,,0,Golledge Hall,556,286,9.433981132
Rev_8,2020-09-22 05:20:15 UTC,,0,Harris Hall,399,228,184.0108692
Rev_9,2020-09-22 22:38:52 UTC,,0,Harvey House,55,478,239.1024885
Rev_9,2020-09-22 22:38:52 UTC,,0,Lynch Station,9,283,159.0282994
Rev_9,2020-09-22 22:38:52 UTC,,0,Batty House,257,16,344.1453181
Rev_9,2020-09-22 22:38:52 UTC,,0,Golledge Hall,340,78,309.1035425
Rev_9,2020-09-22 22:38:52 UTC,,0,Snow Church,402,217,314.2292157
Rev_9,2020-09-22 22:38:52 UTC,,0,Sauer Center,506,14,119.3398508
Rev_9,2020-09-22 22:38:52 UTC,,0,Tobler Museum,661,189,180.8673547
Rev_9,2020-09-22 22:38:52 UTC,,0,Harris Hall,692,6,525.289444
Rev_10,2020-09-25 00:51:03 UTC,,0,Tobler Museum,307,485,407.8786584
Rev_10,2020-09-25 00:51:03 UTC,,0,Snow Church,91,352,642.0545148
Rev_10,2020-09-25 00:51:03 UTC,,0,Golledge Hall,234,303,330.2181097
Rev_10,2020-09-25 00:51:03 UTC,,0,Sauer Center,26,466,755.8584524
Rev_10,2020-09-25 00:51:03 UTC,,0,Lynch Station,279,16,288.0156246
Rev_10,2020-09-25 00:51:03 UTC,,0,Batty House,145,16,281.886502
Rev_10,2020-09-25 00:51:03 UTC,,0,Harris Hall,538,406,369.7688467
Rev_10,2020-09-25 00:51:03 UTC,,0,Harvey House,724,257,486.7073042
Rev_11,2020-09-28 22:09:11 UTC,,0,Batty House,9,146,127.2792206
