participant,date,direction test,start landmark,facing landmark,target landmark,bearing,actual direction,abs error,same or different route
1003,10/7/2015 12:10,0,Sauer Center,Tobler Museum,Golledge Hall,4,51.85616181,47.85616181,same
1003,10/7/2015 12:10,0,Sauer Center,Tobler Museum,Batty House,102,6.744508622,95.25549138,different
1003,10/7/2015 12:10,0,Sauer Center,Tobler Museum,Tobler Museum,7,2.713388186,4.286611814,same
1003,10/7/2015 12:10,0,Sauer Center,Tobler Museum,Harvey House,1,23.09134403,22.09134403,different
1003,10/7/2015 12:10,0,Tobler Museum,Sauer Center,Golledge Hall,75,67.30353066,7.69646934,same
1003,10/7/2015 12:10,0,Tobler Museum,Sauer Center,Snow Church,61,38.78279809,22.21720191,same
1003,10/7/2015 12:10,0,Tobler Museum,Sauer Center,Batty House,145,171.0086651,26.00866514,different
1003,10/7/2015 12:10,0,Tobler Museum,Sauer Center,Harris Hall,175,173.2852643,1.714735674,different
1003,10/7/2015 12:10,0,Tobler Museum,Sauer Center,Sauer Center,14,20.69981416,6.699814155,same
1003,10/7/2015 12:10,0,Tobler Museum,Sauer Center,Lynch Station,170,156.2355625,13.76443745,different
1003,10/7/2015 12:10,0,Tobler Museum,Sauer Center,Harvey House,150,147.248191,2.751809003,different
1003,9/10/2013 10:29,0,Batty House,Lynch Station,Sauer Center,36,30.3316951,5.668304903,different
1003,9/10/2013 10:29,0,Batty House,Lynch Station,Snow Church,58,48.19947553,9.800524469,different
1003,9/10/2013 10:29,0,Batty House,Lynch Station,Lynch Station,21,47.32798389,26.32798389,same
1003,9/10/2013 10:29,0,Batty House,Lynch Station,Tobler Museum,6,37.30802198,31.30802198,different
1003,9/10/2013 10:29,0,Batty House,Lynch Station,Harris Hall,30,37.5286373,7.528637304,same
1003,9/10/2013 10:29,0,Batty House,Lynch Station,Golledge Hall,54,51.76768154,2.232318462,different
1003,9/10/2013 10:29,0,Batty House,Lynch Station,Harvey House,58,93.19423766,35.19423766,same
1003,9/10/2013 10:29,0,Lynch Station,Harris Hall,Snow Church,75,8.968174613,66.03182539,different
1003,9/10/2013 10:29,0,Lynch Station,Harris Hall,Golledge Hall,90,3.323863738,86.67613626,different
1003,9/10/2013 10:29,0,Lynch Station,Harris Hall,Harris Hall,172,7.021704671,164.9782953,same
1003,9/10/2013 10:29,0,Lynch Station,Harris Hall,Sauer Center,51,29.20903342,21.79096658,different
1003,9/10/2013 10:29,0,Lynch Station,Harris Hall,Harvey House,145,48.19593801,96.80406199,same
1003,9/10/2013 10:29,0,Lynch Station,Harris Hall,Tobler Museum,78,17.95076442,60.04923558,different
1003,9/10/2013 10:29,0,Lynch Station,Harris Hall,Batty House,48,130.6542463,82.65424633,same
1003,9/10/2013 10:29,0,Harris Hall,Harvey House,Tobler Museum,99,99.95984558,0.959845582,different
1003,9/10/2013 10:29,0,Harris Hall,Harvey House,Golledge Hall,55,77.71082192,22.71082192,different
1003,9/10/2013 10:29,0,Harris Hall,Harvey House,Harvey House,131,2.146796904,128.8532031,same
1003,9/10/2013 10:29,0,Harris Hall,Harvey House,Lynch Station,0,114.5627943,114.5627943,same
1003,9/10/2013 10:29,0,Harris Hall,Harvey House,Snow Church,174,84.7281122,89.2718878,different
1003,9/10/2013 10:29,0,Harris Hall,Harvey House,Sauer Center,150,110.6574336,39.34256637,different
